

    0.488281250000000325E-03   -0.927754550075107986-309    0.441253173351287842E+02    0.633313636445948958E+00   -0.168818593025207520E+01   -0.159058690071105957E+01
    0.488281250000000325E-03   -0.927754550075424188-309    0.155571055412292480E+02    0.452656828904886954E+00   -0.138582527637481689E+01   -0.279033982753753662E+01
    0.488281250000000325E-03   -0.927754550075740390-309    0.312858831882476807E+02    0.904290571741712124E+00   -0.212682187557220459E+01   -0.241307783126831055E+01
    0.488281250000000325E-03   -0.927754550076056592-309    0.451558721065521240E+02    0.139517337694521704E+01   -0.266630744934082031E+01   -0.102540838718414307E+01
    0.488281250000000325E-03   -0.927754550076372794-309    0.365029084682464600E+02    0.120904020173178006E+01   -0.214239943027496338E+01   -0.142748832702636719E+01
    0.488281250000000325E-03   -0.927754550076688996-309    0.215665090084075928E+02    0.144352071698443840E+01   -0.147552537918090820E+01   -0.139581406116485596E+01
    0.488281250000000325E-03   -0.927754550077005198-309    0.640147876739501953E+02    0.643946898538167001E+00   -0.123768949508666992E+01   -0.223930203914642334E+01
    0.488281250000000325E-03   -0.935909260816939357-309    0.500459825992584229E+02    0.988016794551021316E+00   -0.107659566402435303E+01   -0.122949063777923584E+01
    0.488281250000000325E-03   -0.935909260817255559-309    0.370759284496307373E+02    0.134675270457244811E+01   -0.190441370010375977E+01   -0.229764807224273682E+01
    0.488281250000000325E-03   -0.935909260817571761-309    0.412160217761993408E+02    0.496278472786288560E+00   -0.289134025573730469E+01   -0.110918641090393066E+01
    0.488281250000000325E-03   -0.935909260817887963-309    0.669468498229980469E+02    0.116220865591486966E+01   -0.248585963249206543E+01   -0.160028541088104248E+01
    0.488281250000000325E-03   -0.935909260818204165-309    0.555806601047515869E+02    0.168836789599879966E+00   -0.123774564266204834E+01   -0.160056948661804199E+01
    0.488281250000000325E-03   -0.935909260818520367-309    0.734798097610473633E+02    0.124589428585560813E+01   -0.159814047813415527E+01   -0.276044583320617676E+01
    0.488281250000000325E-03   -0.935909260818836569-309    0.614092290401458740E+02    0.127000974801236288E+01   -0.270631003379821777E+01   -0.125924193859100342E+01
    0.488281250000000325E-03   -0.935909260819152771-309    0.366796946525573730E+02    0.655797569490593535E+00   -0.115348100662231445E+01   -0.207401800155639648E+01
    0.488281250000000325E-03   -0.935909260819468973-309    0.229134786128997803E+02    0.583429736029964285E+00   -0.227873015403747559E+01   -0.225441193580627441E+01
    0.488281250000000325E-03   -0.935909260819785175-309    0.352885329723358154E+02    0.526328804783636306E+00   -0.199283242225646973E+01   -0.149909818172454834E+01
    0.488281250000000325E-03   -0.932015988371579986-309    0.428046762943267822E+02    0.365096689884844838E+00   -0.206138527393341064E+01   -0.286098718643188477E+01
    0.488281250000000325E-03   -0.932015988371896188-309    0.369204926490783691E+02    0.710826599342755716E+00   -0.238763892650604248E+01   -0.190209949016571045E+01
    0.488281250000000325E-03   -0.932015988372212390-309    0.332039558887481689E+02    0.813665674153193019E+00   -0.186207890510559082E+01   -0.100734674930572510E+01
    0.488281250000000325E-03   -0.932015988372528592-309    0.267925858497619629E+02    0.558245378064541997E+00   -0.182813060283660889E+01   -0.247004580497741699E+01
    0.488281250000000325E-03   -0.932015988372844794-309    0.242403495311737061E+02    0.111753146433970607E+01   -0.101332283020019531E+01   -0.201616787910461426E+01
    0.488281250000000325E-03   -0.932015988373160996-309    0.518492567539215088E+02    0.763651899044438864E+00   -0.114523506164550781E+01   -0.256728255748748779E+01
