coinc_event_id	ifos	snr
111	H1,K1,L1,V1	10.54671765573929
112	H1,K1,V1	8.29201771371846
113	H1,K1,L1,V1	8.017436379954511
114	H1,L1,V1	8.074219766105797
115	H1,K1,L1,V1	10.82448980010883
116	H1,K1,L1,V1	10.41977629794417
117	H1,K1,L1,V1	8.072635856665761
118	K1,L1,V1	8.052862559886606
119	H1,K1,L1,V1	9.750899626224376
120	H1,K1,L1,V1	8.356138239138424
121	H1,K1,L1	9.586405562032052
122	H1,L1,V1	10.1692080581967
123	H1,K1,L1,V1	8.155247843504927
124	K1,L1,V1	11.33763291226256
125	H1,K1,L1,V1	8.705947737736091
126	H1,K1,L1,V1	8.090431310545229
127	K1,L1,V1	13.456171463231
128	K1,L1,V1	18.44936416625264
129	H1,K1,L1,V1	14.22994024099881
130	H1,K1,L1	15.51419028947783
131	H1,K1,L1,V1	14.08920525928741
132	H1,L1,V1	8.234709264913617
133	H1,K1,L1,V1	9.100297579578411
134	H1,K1,L1	8.999321366867351
135	H1,K1,L1	8.033003704880445
136	H1,K1,L1,V1	8.975353192498156
137	H1,K1,L1,V1	11.34044926641843
138	H1,K1,L1,V1	8.513179619280121
139	H1,K1,V1	8.456634625468789
140	H1,K1,L1	8.864331431011633
141	H1,K1,V1	14.8503928974962
142	K1,L1,V1	8.450509009079257
143	H1,K1,V1	10.69499599396214
144	H1,K1,L1,V1	8.800006811863472
145	H1,K1,V1	8.186430727508334
146	H1,L1	8.596519913732193
147	H1,K1,L1	10.50165911602214
148	H1,V1	10.37534283876068
149	H1,K1,L1,V1	12.59507911210367
150	H1,K1,L1,V1	8.267627413374242
151	H1,L1,V1	9.01748501410219
152	H1,L1,V1	14.40816698875544
153	H1,K1,L1,V1	8.062786319762337
154	H1,K1,L1	10.44844877821314
155	H1,L1,V1	8.47018727887429
156	H1,K1,L1,V1	24.61170810270325
157	H1,L1,V1	19.37518033690926
158	H1,K1,L1,V1	8.194472520889368
159	H1,K1,L1,V1	8.126669355077308
160	H1,K1,L1,V1	11.15875673644241
161	H1,L1,V1	11.12412266262834
162	H1,K1,L1,V1	9.870114800106442
163	H1,K1,L1,V1	8.956697275663986
164	H1,K1,L1,V1	8.275914151142167
165	H1,L1,V1	9.941208519967292
166	H1,K1,L1,V1	9.445597970133894
167	H1,K1,L1	17.18240614025513
168	H1,K1,L1,V1	8.210763772526835
169	H1,K1,L1,V1	9.071518779701753
170	H1,K1,L1,V1	8.964755854149368
171	H1,K1,V1	10.66479419724603
172	H1,K1,L1	8.652086165495209
173	H1,K1,L1,V1	11.20287369089563
174	K1,L1,V1	9.149489247547816
175	H1,K1,L1,V1	8.464336423869453
176	H1,L1	25.5628098205557
177	H1,L1,V1	10.5761778204207
178	H1,K1,L1,V1	10.51240985317866
179	H1,K1,L1,V1	8.275914490502267
180	H1,K1,L1	8.857729910548786
181	H1,L1	9.086770315920674
182	H1,K1,L1,V1	8.753044091858605
183	H1,K1,L1,V1	8.038360469695085
184	H1,K1,L1,V1	8.046659649402658
185	H1,K1,L1,V1	8.027032434025324
186	H1,L1,V1	10.88685860474362
187	H1,K1,L1,V1	8.105267294995437
188	H1,K1,L1,V1	13.0901571976336
189	H1,K1,L1	19.10886233550562
190	H1,L1,V1	9.67496410560411
191	H1,K1,L1	9.280685289407842
192	H1,L1,V1	8.399832322301609
193	K1,L1,V1	8.133580629948931
194	H1,K1,L1,V1	9.625339769581331
195	H1,K1,L1,V1	11.30329209891584
196	H1,V1	8.368080517903353
197	H1,L1,V1	9.067467358415621
198	H1,K1,L1,V1	8.106674169424291
199	H1,K1,V1	9.491823583664667
200	H1,K1,L1,V1	8.844441519544208
201	H1,K1,L1,V1	10.00782554793988
202	H1,K1,L1,V1	8.179778531014643
203	H1,K1,V1	9.972450340200284
204	H1,K1,L1,V1	8.381016840720788
205	H1,L1,V1	8.393427606880312
206	H1,K1,L1,V1	8.18696653565258
207	H1,L1	16.17842300480692
208	H1,K1,L1,V1	8.042231917235721
209	H1,K1,L1,V1	8.557337002451382
210	H1,K1,L1,V1	8.034362254271434
211	K1,L1,V1	10.36674096036212
212	H1,K1,L1,V1	9.097195092256499
213	K1,L1	8.002627810056991
214	H1,L1	9.128155713091056
215	H1,K1,L1,V1	8.041281863201194
216	K1,L1,V1	10.02794124867202
217	H1,L1,V1	19.67264265334704
218	H1,K1,L1	8.661029368951588
219	H1,K1,L1,V1	8.610184105955488
220	H1,K1,L1,V1	8.00764050297369
221	H1,L1,V1	9.518804056642598
222	H1,K1,L1,V1	8.834109564868196
223	H1,K1,L1,V1	8.360672293288188
224	H1,K1,L1,V1	9.258010596288747
225	H1,L1,V1	11.40092311611933
226	H1,K1,L1,V1	8.033193935324407
227	H1,K1,L1,V1	8.276018148438959
228	H1,K1,L1,V1	8.033372735979508
229	H1,K1,L1	12.10286155625823
230	H1,V1	8.465603777616815
231	K1,L1,V1	8.582183751643797
232	H1,K1,L1,V1	10.49467710427049
233	H1,K1,L1	8.390987458996737
234	H1,L1,V1	9.538743298508168
235	H1,K1,L1	11.91259845121411
236	H1,K1,L1,V1	8.051312223347862
237	H1,K1,L1,V1	8.704129890380072
238	H1,L1,V1	8.106694170296151
239	H1,L1,V1	9.038465422300431
240	H1,K1,L1	8.85160208511242
241	H1,K1,L1,V1	8.077583517219283
242	H1,L1,V1	8.025306695342204
243	H1,K1,L1,V1	8.241614459710501
244	H1,K1,L1,V1	8.36484088522899
245	H1,K1,L1	8.97499674717421
246	H1,K1,L1,V1	8.008737623883324
247	H1,K1,L1,V1	8.312873654459258
248	H1,K1,L1,V1	8.378798778757155
249	K1,L1,V1	9.50447094433917
250	H1,K1,L1,V1	9.593755770075239
251	H1,K1,L1,V1	8.183747973552084
252	H1,L1,V1	8.932983814182593
253	H1,K1,L1,V1	8.333818022477075
254	H1,K1,L1,V1	8.147898756911625
255	H1,K1,L1,V1	9.584036504998117
256	H1,K1,V1	12.48348902429148
