KNphi inclination_EM log10_mej_dyn log10_mej_wind luminosity_distance KNtimeshift Ebv log_likelihood log_prior
44.142876863479614 1.5391669149223361 -2.725502610206604 -1.2672760486602783 40.0 0.0 0.0 -115.31404219142325 -6.174286397175193
49.9785664631021 1.3570561224877433 -2.7494597554889313 -1.195343841119001 40.0 0.0 0.0 -115.1980470553631 -6.196804615720699
39.5917536274508 0.6513743355481718 -2.609231271678924 -1.372374246647417 40.0 0.0 0.0 -115.16811906232837 -6.6741995890784205
67.03344439569877 1.194572767774974 -2.460338301101033 -1.1938018833307105 40.0 0.0 0.0 -114.93857017079574 -6.246293605789731
55.634789699252956 1.3369919606606968 -2.637161367353973 -1.235543182852716 40.0 0.0 0.0 -114.8458061855078 -6.201371053139595
30.36861777305603 1.015635266879946 -2.5676687955856323 -1.3859360218048096 40.0 0.0 0.0 -114.77245687340509 -6.336522045411292
54.414238604642236 1.1604158829270477 -2.7761553817488576 -1.2258765338939366 40.0 0.0 0.0 -114.73658374275811 -6.260467599335895
35.76282940688462 0.9829670461846135 -2.4376524363603718 -1.3912203566549766 40.0 0.0 0.0 -114.73296479754784 -6.35753296703423
44.86206650733948 1.531017856626769 -2.73665189743042 -1.226694107055664 40.0 0.0 0.0 -114.70607487194334 -6.174577475980955
60.59285901550095 0.4351349066425747 -1.925229937831647 -1.420812669821181 40.0 0.0 0.0 -114.55751632640919 -7.037643932719403
51.990096989654695 1.1375094731863915 -2.8050142563393328 -1.2352656159754851 40.0 0.0 0.0 -114.4690535975751 -6.27074793315853
55.53555637479995 0.7251220577576903 -2.3948998369903203 -1.389579039263073 40.0 0.0 0.0 -114.43148786532434 -6.584424372936516
31.58860837074745 0.9058662555140965 -2.467084635808608 -1.3109217284131016 40.0 0.0 0.0 -114.41770123181634 -6.413364046360887
51.29001328356536 0.8728387695838815 -2.8473241841339947 -1.2412192664981496 40.0 0.0 0.0 -114.3851088461444 -6.44015509710617
