luminosity_distance KNphi inclination_EM KNtimeshift log10_mej_dyn log10_mej_wind Ebv log_likelihood log_prior
35.572448409334754 31.802055665202403 1.193081337584817 -0.5958420448339994 -2.7167144551582996 -1.2696561330135665 0.0 -132.6781825654341 -12.866957273746102
48.173929247849244 42.41640942665426 0.576745712131765 -0.94358258099205 -1.246185493807242 -0.6230615899241636 0.0 -132.63017524680438 -13.400280414035219
42.00605146019753 25.163335698157375 0.9198861540051153 -1.8253766952731116 -1.4194326895024931 -1.0141771712927325 0.0 -132.53528770312667 -13.022602705794469
43.16962937338079 56.91733810402932 0.6737639298811097 -1.6806990498847976 -1.5059233849053104 -0.7006457388274492 0.0 -132.49939842035312 -13.265573472110653
52.57608313574437 39.31924783797648 0.853984136825629 -1.5625577404802453 -2.2574159916555994 -0.6266112629469927 0.0 -132.41587293805702 -13.076349684860357
27.555387867834806 26.87972701165841 1.123666011333782 -1.857423132763826 -1.5376265579979607 -1.1674771833310367 0.0 -132.2675566408633 -12.897342027059857
55.87585711536006 53.77008882008938 0.7631737435117545 -0.897866812760568 -2.426953961654845 -0.8644707215668381 0.0 -132.23673100231483 -13.16315872990948
62.399941996218644 17.630314157049465 0.4858336045950651 -1.2103519762680568 -2.071857740092839 -0.6884010864286862 0.0 -132.21181782083994 -13.555401684375735
51.400158999565605 29.81384124183449 0.8301163774521202 -0.6286177417232781 -1.1233756896166665 -0.6061651808712183 0.0 -132.20872094322488 -13.097657341551642
60.046962546238724 29.94943520382438 0.7117240706362079 -0.494247760201759 -1.086361296568755 -0.6593158024418218 0.0 -132.16833488471846 -13.219822673015987
64.72022232455335 34.87813831503094 1.2136411225736388 -0.6197138096367887 -1.546297854981092 -0.563992939756564 0.0 -132.12239810074928 -12.859043177319936
35.53946618523749 22.695625896067114 1.4111829771218902 -0.792010376539066 -2.0286998290758746 -1.099981396187308 0.0 -132.12222925343085 -12.806651978785805
43.16110701941762 54.00894333565506 0.6400111766021972 -1.1243357540919832 -1.453785642040604 -0.9766277359229072 0.0 -132.11881301973742 -13.309355145962975
27.533304627150518 26.603848964172933 1.3103226960791008 -0.7766069050052256 -2.333289114477428 -1.2773918609287875 0.0 -132.11252163737728 -12.82817324867932
33.397253787794554 33.23986571962298 1.3628468861364575 -1.1781019961363683 -2.320352534528413 -1.0293157445153005 0.0 -132.0882229286238 -12.815638445770801
49.921523627797605 25.683853014133973 0.8060708827125664 -0.8670948872938959 -1.2183742165448257 -0.8451463081407558 0.0 -132.07533340854513 -13.120181772202901
