simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
27	1.760018	0.42264284	2.0859287	345.40481	1.4857719	1.3120832	0.0022361063	-0.018516788
28	2.259286	-1.1365445	2.7925235	29.267565	1.2649412	1.2040282	-0.035069687	0.01282487
29	5.9949238	0.021170318	0.43965655	543.60326	1.3287112	1.4856854	0.046446991	-0.031453313
30	1.9437619	-0.38450881	2.1107735	768.03664	1.532133	1.434366	-0.040765687	0.032115727
31	2.6404428	-1.1180443	1.2681346	1361.6052	1.7232467	1.7840264	-0.012617907	0.037951213
32	3.443184	0.1814024	0.78492779	130.47349	1.3634458	1.3946054	0.00087503646	0.031179609
33	1.83562	0.4586396	0.29204783	559.91596	1.5003714	1.5007623	-0.04968542	-0.010440106
34	3.1449831	0.10284024	2.1496501	326.66379	1.3346846	1.4521416	0.019506785	0.025673395
35	0.76001756	-0.43612031	1.7467004	173.57399	1.5341595	1.3558015	-0.035243186	-0.013352704
36	2.8555272	0.53618581	2.3653622	311.139	1.5259519	1.6103857	-0.046352653	-0.0054098919
37	5.7932387	-0.70698433	1.6944828	162.57904	1.2367875	1.3607889	-0.041779824	-0.042877613
38	2.5716602	0.88136944	0.44577934	425.59555	1.5467561	1.6393152	0.02074369	0.0058015989
39	4.9065228	-0.49479323	1.6707989	4172.7823	2.3599813	1.9871944	-0.027294732	0.039798372
40	4.3717974	-0.41336165	2.0776688	94.590577	1.2600724	1.4484612	0.0095786906	0.047584685
41	1.3410501	1.0142657	0.43269922	765.14887	1.4346711	1.6617061	-0.039337889	0.001614942
42	1.8030721	1.1483874	1.3730318	2452.7513	1.8924734	1.7891255	0.043788002	-0.042872402
43	2.8632564	0.88956503	0.4985485	763.7105	1.3935147	1.6509974	-0.031113079	-0.0094082406
44	5.093636	-0.46150996	2.7323746	632.80973	1.5432764	1.6948111	-0.045084233	-0.012769535
45	1.6106473	-0.94189716	0.48051984	415.48687	1.4256674	1.4583482	-0.016492715	0.044734028
46	0.27226585	0.07745962	2.7225028	330.48628	1.3583725	1.4799328	-0.0045424643	0.046653329
47	3.1433295	0.43418349	2.9929583	271.68221	1.412023	1.528026	-0.015644036	0.022184474
48	2.1966371	0.31428303	0.073094225	234.16264	1.3187941	1.5371556	-0.031576969	-0.044046311
49	4.4774684	0.54934635	0.3786023	291.91875	1.5580136	1.4360406	0.0010769128	0.0033321843
50	3.0377629	1.142181	0.65178005	404.42488	1.3899476	1.4126107	-0.018468861	-0.0062908424
51	2.8854634	-0.44592625	1.4954367	328.86085	1.4027864	1.369459	-0.010779153	-0.0092602638
52	5.390106	0.52725094	2.5681701	844.87659	1.4803754	1.5802213	0.013256081	-0.022868516
53	4.9998883	0.13156479	2.0790728	150.78493	1.3949597	1.2867365	-0.0038103433	0.00010482798
54	4.1511292	1.4699447	0.837385	279.92024	1.5315921	1.3732263	-0.025302003	-0.015881379
55	1.3751702	-0.46703729	1.9183487	142.2794	1.4429131	1.4627922	0.032707249	0.038550213
56	3.2975846	0.57397112	0.88878494	249.39994	1.4340515	1.3270532	-0.027810388	-0.028649719
57	0.67751944	-0.42168291	2.2850651	5963.8042	2.6073918	2.7497884	0.03058132	-0.047311464
58	2.3066977	1.0246288	2.1312238	77.572065	1.31986	1.3615149	0.021961049	-0.041337142
59	6.1548248	-0.99983766	2.1976991	769.0079	1.6167061	1.6115834	-0.040969708	-0.043863398
60	5.5494821	0.96150342	2.4469084	246.29922	1.2755955	1.5732117	-0.0036978741	-0.030915522
61	5.2918127	-0.57083059	1.7186163	176.95777	1.3750671	1.2917106	0.029527309	-0.032053175
62	0.67546942	-0.012283228	0.84779266	252.235	1.36979	1.3428491	0.022628406	-0.012747884
63	5.0662051	1.1242633	2.1928357	223.86295	1.4808348	1.3280632	0.0051661749	0.011550884
