simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns
405	0.17427394	1.1659394	2.4265966	280.43245	2.1888894	2.0854397	0.12091233	-0.0028349892	0.6375997066497803	-2.6882283687591553	1002241810	284611702
430	5.0156754	0.4476141	2.8152251	143.17933	2.0962994	1.3572759	-0.092832681	0.020245375	3.077133893966675	0.6569526791572571	1018511131	314276814
436	0.3941549	0.40675019	0.38861444	677.80376	1.8101139	1.4760455	0.15984345	0.10634887	2.758530616760254	-0.0834047868847847	1025482755	322796226
439	5.9389628	-0.91203665	2.2188683	212.77654	2.6564262	2.3259946	-0.43341752	-0.18710691	0.730324387550354	3.0009899139404297	1000806408	226788163
441	0.11402603	0.9109053	0.24212597	494.64449	2.253283	2.0348476	-0.0081524729	-0.050661555	3.850308418273926	1.5764892101287842	1015296176	173689604
443	4.7467813	-0.77151496	0.6634933	140.90122	2.6105569	2.44496	-0.45192139	-0.1221471	3.49590802192688	0.6778767108917236	1027693232	444389105
447	3.6530736	-0.69803031	2.3990563	593.78758	2.2136435	2.1001145	-0.0006591058	-0.23199255	6.272574424743652	1.2579854726791382	1010453398	565977812
450	1.1545318	1.2599197	0.64812305	304.75587	1.4526317	1.2877342	-0.012863546	-0.019201382	1.995323896408081	2.852804183959961	1030663451	437086344
455	0.031614582	-0.43629075	2.7885042	417.95274	1.610717	1.4717763	0.26277704	0.016172523	5.149348735809326	2.769205093383789	1004175046	182990551
456	0.75155096	-0.10834178	2.9522531	152.04878	1.5457052	1.3627441	-0.0015822534	-0.31010663	3.662242889404297	-0.7563081979751587	1018637272	566033721
459	1.4885633	-0.54324624	1.9152047	167.01534	2.0114569	1.6693955	0.0085788683	0.20325893	4.861110687255859	2.059206962585449	1021137208	940542102
478	0.52274578	0.213253	0.87579354	800.4037	3.0366978	1.8562308	-0.028325687	-0.28584373	2.7492032051086426	2.481562614440918	1012698064	690988064
483	2.4803462	-0.04491121	2.8291447	298.29564	2.7533066	2.6359398	-0.2578817	0.2481666	5.288546562194824	-2.8564867973327637	1006161602	712754965
486	2.3386136	-0.18928457	2.5222544	786.80906	3.014014	2.856295	0.020785056	-0.14392204	5.8900861740112305	-2.5941731929779053	1024476004	823323369
490	5.2508956	0.44240888	2.624501	259.19285	2.6185475	1.7649595	-0.062395577	-0.0082722472	5.1859130859375	-1.9999252557754517	1002917132	319368243
500	6.1176178	-0.4308823	0.46061045	250.96458	1.4313678	1.3955548	0.24913733	0.12230214	3.567770004272461	-0.5268658399581909	1010073228	276232839
502	2.6374058	0.75354786	0.97541327	523.11456	3.0128806	2.6326609	0.74748721	-0.22857374	3.7442893981933594	2.7721521854400635	1006930278	856034875
527	1.205236	1.4782509	2.3039775	135.05716	1.9349164	1.3995996	0.37950947	0.04640394	5.007719993591309	-1.4531707763671875	1004078804	601865292
530	2.6319895	-0.13417232	2.996213	389.3328	1.8629853	1.4479345	0.058874866	0.0099403119	2.259662389755249	-1.6156141757965088	1007166233	431540251
550	3.2830975	-1.1351932	2.2164402	6226.6151	3.6790714	3.5694484	0.057922403	-0.25168664	4.40158748626709	2.944852828979492	1017428332	72632074
552	1.6372639	-0.69497796	2.84538	973.22158	2.3460963	1.851779	-0.049969919	-0.038939441	4.409830093383789	2.2428903579711914	1005087937	452223420
555	2.8848227	-0.81878142	0.8205417	295.10481	2.9668945	2.3520562	-0.64942612	-0.066492946	4.177414417266846	0.0046667251735925674	1013704390	939211607
565	1.5821449	-0.66552247	0.46374884	779.99547	2.0146655	1.5631068	0.061402063	-0.00094539013	1.1002693176269531	1.5539803504943848	1029388604	582392931
574	3.0093649	0.1522662	2.4460323	171.07124	1.5460156	1.2722237	0.24685889	-0.20726757	0.5101198554039001	-0.895499587059021	1008338947	385029554
581	0.28702649	-0.72118943	2.5217265	378.39378	2.7855308	1.5421836	-0.062114785	0.070010378	5.845933437347412	-2.821836471557617	1014014336	889747024
602	2.5688694	0.97384498	2.1987134	831.85487	3.1413964	2.7703968	-0.61165365	-0.045117314	2.490806818008423	2.672714948654175	1011680364	63896775
608	4.1143714	0.47676319	2.4381279	3478.9095	2.8586706	1.846663	-0.00064929085	0.13876521	5.211362361907959	2.862330436706543	1006981232	672494769
622	0.88160445	-0.0049005839	1.3736475	3683.7263	2.4520793	2.4354562	0.27363667	-0.050802651	4.572756290435791	-1.279698133468628	1016122187	581515789
628	0.37312622	0.89228941	0.39135112	271.36727	2.4221521	1.7026016	-0.059533762	0.11008681	0.5645174384117126	-2.951883316040039	1007412577	564206243
629	6.1417155	0.070464786	1.265984	116.79399	1.6832176	1.3045236	0.035491662	-0.006877343	0.6584914922714233	-0.872717022895813	1028589043	787180781
638	3.0185956	-0.71522823	0.28224906	436.8213	2.5597052	1.4794955	-0.095615405	-0.089445651	0.8954536318778992	1.0328232049942017	1025177977	908071637
642	3.6649002	-0.87177533	2.0963771	623.48725	2.0975181	1.7334386	0.28046792	-0.067015588	3.3136870861053467	-1.8948975801467896	1025877629	157464504
643	5.7246643	-0.27510667	2.7915063	502.01574	1.8851802	1.5515924	-0.075454831	0.068628769	1.2984230518341064	-1.8939623832702637	1020195223	964302540
645	5.6109386	-1.462101	1.9636669	223.21532	2.5547817	2.4042864	-0.131492	0.010759672	3.628244400024414	0.1360916942358017	1018770809	948080778
653	0.16344907	-0.45752791	1.0436793	260.6937	2.1175611	2.1064327	0.37277694	-0.1153529	5.777750492095947	0.5216578841209412	1027067663	807847977
654	0.4914995	0.45014076	2.550175	202.8226	1.7860341	1.319065	-0.17833104	0.20714038	3.078659772872925	-0.44742289185523987	1003192782	150347114
661	5.8178759	0.32121539	2.6254223	434.12147	1.662621	1.5198394	0.3430572	-0.18523259	4.051080703735352	0.8437782526016235	1027236848	22897840
663	5.0879753	-0.089184122	0.85545983	3292.0025	4.1880119	4.0986702	0.18557818	0.42003222	0.4595564007759094	-0.5863015651702881	1022559465	751860976
675	4.0490052	-0.38956169	2.6261838	488.27988	2.1495012	1.2344362	0.052888254	-0.21589975	4.887045860290527	-3.028383493423462	1026827954	11952758
699	1.3618571	0.066702577	2.2810265	4889.1605	3.329917	2.3342462	0.042226557	0.1222723	6.255588054656982	-0.9695019721984863	1001811406	115775108
710	2.7833329	0.34919511	1.7201759	98.675958	1.8326596	1.5331669	0.21665197	-0.060487531	4.681521892547607	-2.1738243103027344	1004969235	233435273
711	2.3214221	-0.35388045	2.5726345	529.68655	2.8142535	2.1315599	-0.18336694	-0.00029301029	5.397756576538086	-1.6920826435089111	1015421188	320748568
