simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time
262	0.46859683	-1.0962544	0.7662463	341.15779	2.4077816	2.2011684	0.076337993	0.084271528	1.6044378280639648	1.183495044708252	1006955455	858324885	1006955455.876245
264	1.3120584	0.72438008	0.2287892	653.53713	2.1798151	1.5452847	0.043399335	0.20968718	4.1740193367004395	-2.147318124771118	1021575645	456230521	1021575645.435898
274	2.7591152	-0.52819453	0.71783405	638.17545	2.1422764	1.4653139	-0.19045806	-0.0097528814	2.661001205444336	-0.09836380928754807	1009142532	313266397	1009142532.333053
285	4.3071662	-0.71540193	1.8330854	165.53611	2.2172886	1.6683771	0.02043206	-0.10226046	1.667557716369629	-0.9496497511863708	1021657152	547188163	1021657152.567122
289	4.5719603	0.18239625	2.7323827	429.49705	1.5566183	1.5470729	-0.31360687	-0.15998377	2.2952682971954346	-2.9193248748779297	1018098758	993567467	1018098758.97821
303	5.6560177	1.3021828	0.78530953	176.66615	1.9804417	1.5728659	0.2707035	-0.060058563	2.009708881378174	1.6789275407791138	1006460162	706528068	1006460162.6915
307	0.14458171	-0.56041997	0.754721	303.02506	1.9076749	1.6439673	-0.11368209	0.15386307	2.0462162494659424	-1.3981575965881348	1028335322	296566963	1028335322.315329
345	4.630322	-0.66546776	1.1815231	94.301663	1.6282926	1.6212021	0.075668913	0.12047067	0.04568982496857643	-2.709451198577881	1021165267	986041784	1021165267.996704
351	4.1477615	-1.2366053	1.637941	248.49674	2.1026083	1.5681136	-0.056483404	0.049974818	0.11718347668647766	-1.5485093593597412	1001151612	371020794	1001151612.388829
355	4.4693603	0.0060227824	0.36704139	202.03972	1.5843809	1.4244318	0.18927654	-0.090622781	0.9890925884246826	3.1260061264038086	1022926317	600434065	1022926317.589253
377	4.4465907	-0.52462484	2.1040702	190.68354	1.8606256	1.4156025	-0.0504004	-0.081965789	3.578512191772461	0.9122719764709473	1003666963	306642175	1003666963.325562
389	0.99306268	0.41354738	2.9388185	243.13645	2.015147	1.7036839	0.19490606	-0.14173002	3.305898666381836	0.8537191152572632	1005275718	544019580	1005275718.529561
400	1.7323155	1.0728166	3.054899	431.62684	2.0820212	2.052342	0.10798344	0.10094105	5.304819583892822	-2.375077486038208	1017697690	749911070	1017697690.732591
405	4.2724915	-0.017139	2.6923134	383.74666	2.5524328	1.8953611	0.042788597	0.16971825	5.931326389312744	0.333596408367157	1027474022	59976578	1027474022.044869
432	5.4538014	-0.30145734	2.721945	137.42789	1.9553038	1.598768	0.046137355	-0.16938842	3.9810729026794434	-3.038177728652954	1007673342	872622013	1007673342.860759
450	2.0915601	-0.89701621	2.199447	155.25853	1.7614147	1.6404046	0.028147745	-0.15283329	3.325117826461792	-2.500619411468506	1001240094	688684344	1001240094.694215
456	0.5546788	-0.48953438	2.3696974	132.68662	1.7374422	1.3045142	0.0041980532	0.079679151	1.9431992769241333	-1.005448341369629	1030929201	239812613	1030929201.255943
459	4.6751256	-0.40271448	0.50498561	176.20215	1.8491477	1.7753543	-0.028964498	-0.27243936	5.428712844848633	2.4313104152679443	1000138525	12869239	1000138525.025879
489	4.4001293	-0.38535585	0.88241491	260.46101	2.1352389	1.6083205	0.11828332	0.10776499	4.305900573730469	-0.3038010597229004	1030461641	964086294	1030461641.980729
495	2.633147	0.12413204	2.5605413	72.52063	1.8246917	1.684224	-0.036481091	-0.17398742	4.739634037017822	-1.1597613096237183	1016801833	109465599	1016801833.12033
513	4.0460273	-0.26323312	2.8238311	265.95935	2.4079287	2.065	-0.017078719	0.024245777	1.7124654054641724	-2.633397102355957	1028619881	183913112	1028619881.193603
556	3.6291712	0.83921097	0.81131886	166.41611	2.0474886	1.8504444	0.29355336	0.063688845	0.6314252018928528	-2.309757947921753	1012221770	673201919	1012221770.652879
